question,answer_llm,answer_orig,document
How do I ask questions during Office Hours when the session is live?,"When the Office Hours session is live, students should:

- Watch via **YouTube Live**
- Submit questions through **Slido** — the link is **pinned in the chat** during the live session
- **Not post questions in chat**, since they may be missed if the room is active

Also, the **video URL** is posted in the **announcements channel on Telegram and Slack** before the session begins.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
Will the live session video link be posted somewhere before it starts?,"Yes. The video URL should be posted in the announcements channel on Telegram and Slack before it begins, and you can also watch it live on the DataTalksClub YouTube channel.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Can I just ask my questions in the chat during the workshop, or is there a better place to send them?","Yes — during the live workshop, it’s better to send your questions in **Slido** rather than posting them in chat, because chat questions may be missed if the room is very active. The Slido link is usually **pinned in the chat when live**.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
What’s the best way to begin LLM Zoomcamp and keep up with the weekly routine?,"The best way to begin is to start with these three resources:

1. the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/)
2. the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/)
3. the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp)

You can start anytime, since the videos and GitHub materials are available on demand. To keep up with the weekly routine, follow this workflow:

1. Watch the lesson videos
2. Work through the lesson notebooks/code
3. Read the homework instructions on GitHub
4. Submit your answers through the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/) before the deadline

That platform is also where you can track the syllabus, deadlines, homework, and your progress.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"Do I need to start the course at a specific time, or can I jump in whenever?","You can jump in whenever you want — there’s no specific start time required. The videos and GitHub materials are available, and the deadlines are listed in the course management platform.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"Where should I look first: the docs, the logistics page, or the GitHub repo?","Start with the **LLM Zoomcamp docs**, then the **general Zoomcamp logistics docs**, and the **LLM Zoomcamp GitHub repository**.

If you’re looking for the main entry point for the course materials, **follow the GitHub repo first** because it’s easier to keep updated than the YouTube playlist.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
What does a normal week in the course look like from videos to homework submission?,"A normal week typically looks like this:

1. Watch the lesson videos.  
2. Work through the lesson notebooks/code.  
3. Read the homework instructions on GitHub.  
4. Submit the homework answers through the course platform before the deadline.  

Homework usually follows the lesson flow, but with a different dataset or a slightly different task.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"Is the homework basically the same as the lesson work, or does it change a bit?","It follows the lesson workflow, but it usually uses a different dataset or asks you to apply the same idea in a slightly different way.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
How do I find my name on the leaderboard if I can’t see it right away?,"Click the **“Jump to your record on the leaderboard”** link — it will take you directly to your entry, even if you can’t spot it right away.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Why does my leaderboard entry show some random nickname instead of my real name?,"Because the leaderboard uses your **public display name**, not your certificate name. By default, that display name is a **random anonymous nickname** like “Lucid Elbakyan.”

You can change it in **Edit Course Profile**:
- **First field:** leaderboard nickname/display name
- **Second field:** official name for your certificate

So your real name won’t appear publicly unless you put it in the first field.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Where can I check what display name the course is using for me?,Click the **“Edit Course Profile”** button. The **first field** shows the display name the course is using for you.,"When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Can I change the name that appears on the leaderboard and in the course profile?,"Yes. You can change both names in **Edit Course Profile**:

- **First field:** your public **display name/nickname** for the leaderboard
- **Second field:** your **official name** for the certificate

So the name shown on the leaderboard and in your course profile can be updated there.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
What do I need to fill in so my certificate doesn’t show the default random name?,Fill in the **second field** in **Edit Course Profile** with your **official name** exactly as it appears on your ID/passport. That’s the name printed on your certificate instead of the default random one.,"When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
"Can I take the course on my own schedule and still get the certificate, or does it have to be with a live cohort?","You can take the course in a self-paced mode, but **you will not get a certificate that way**. To receive a certificate, you must finish the course with a **live cohort**, because the certificate requires peer-reviewing capstone projects during the course run.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
"If I finish everything in self-paced mode, will I still get a certificate at the end?","No. You can only get a certificate if you finish the course with a live cohort, not in self-paced mode.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Why aren’t certificates given for the self-paced version of the course?,"Certificates aren’t given for the self-paced version because the course requires peer-reviewing 3 capstone projects after you submit your own project. Peer reviews can only be done while a live cohort is running, before the review form closes and the review list is compiled.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Do I need to do peer reviews to be eligible for the course certificate?,"Yes. To be eligible for the certificate, you must participate in the peer-review process and review 3 fellow students’ capstones. If you don’t do that, you may fail to receive the certificate.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
"Once the course is over, can I still submit peer reviews and qualify for certification?","No. To qualify for certification, you need to peer-review 3 capstones while the course is still running. After the course ends and the form is closed, you can no longer submit peer reviews, so it won’t count toward certification.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Can I still get the certificate if I skipped the first homework?,Yes. Missing the first homework does **not** affect your certificate. You only need to **pass the Capstone project** to get the certificate.,"Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
Do I have to do all the homework assignments to receive the certificate?,"No. Homework is not mandatory to receive the certificate — you only need to pass the Capstone project. Homework is recommended, and the points count toward the leaderboard rank.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
Is the Capstone project the only required thing for getting the certificate?,"No. The Capstone project is required, but it is **not the only requirement**.

To get the certificate, you must:
- **Finish the course with a live cohort**
- **Pass the Capstone project**
- **Peer-review 3 other capstone projects**

Homework is **not mandatory** for the certificate.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"Are homework assignments mandatory for course completion, or just optional practice?","Homework assignments are optional practice, not mandatory for course completion. Only passing the Capstone project is required for the certificate.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"If homework isn't required, what role do the homework points play in the course?",Homework points only count toward your leaderboard rank. Homework isn’t required for the certificate; only the Capstone project is mandatory.,"Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
Why does the homework content keep changing before it’s released?,"If the homework title contains `[DRAFT]`, it means the homework is not ready yet. Until both the homework form is open on the course platform and the title no longer contains `[DRAFT]`, the content can still change. Working on it before release is at your own risk, because the final version may be different.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
What does it mean when the homework title has [DRAFT] in it?,It means the homework is not ready yet.,"If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
How can I tell if a homework is actually ready to do?,"A homework is actually ready only when **both** of these are true:

- The homework form is open on the course management platform.
- The homework title **does not** contain **`[DRAFT]`**.

If the title still has `[DRAFT]`, it is **not ready yet**, and the content may still change.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
Is it safe to start homework early if the page is already there?,"Yes, but it’s at your own risk. The homework is only “ready” when the homework form is open and the title does not contain `[DRAFT]`. Until then, the content can still change, so starting early based only on the page being there may lead to different final questions.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
Can the final homework be different from the draft version?,"Yes. If the homework title contains `[DRAFT]`, the content can still change, and the final version may be different.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
When is llm-zoomcamp going to be offered again?,Summer 2027.,Summer 2027.,bd31146b0e
Do you know the next time this course will start?,Summer 2027.,Summer 2027.,bd31146b0e
Is there a planned session for the course in 2027?,Yes — the course will next be offered in **Summer 2027**.,Summer 2027.,bd31146b0e
When should I expect the next offering of this class?,Summer 2027.,Summer 2027.,bd31146b0e
Will the course be available again in summer 2027?,Yes — the next offering is **Summer 2027**.,Summer 2027.,bd31146b0e
Where can I find the course lectures and video lessons?,"Use the **LLM Zoomcamp GitHub repository** as the main entry point:  
https://github.com/DataTalksClub/llm-zoomcamp

Open the **lesson folders** there, and each lesson page has the relevant **videos linked at the top**.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Is there a main page or repo I should start from to get all the lesson videos?,"Yes — start from the **LLM Zoomcamp GitHub repository**:

https://github.com/DataTalksClub/llm-zoomcamp

That’s the main entry point for the lesson materials. Open the lesson folders there, and each lesson page has the relevant videos linked at the top. If you’re in doubt, follow the GitHub repo first, since it’s easier to keep updated than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
The YouTube playlist looks confusing — where are the videos linked for each lesson?,"Use the **LLM Zoomcamp GitHub repository** as the main entry point.

Open the **lesson folders** in the repo — **each lesson page has the relevant videos linked at the top**.  
The GitHub repo is also easier to keep updated than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
What’s the easiest place to check for the latest LLM Zoomcamp lecture videos?,"The easiest place to check is the **LLM Zoomcamp GitHub repository**. Open the lesson folders there, and each lesson page has the relevant videos linked at the top.

If you’re ever unsure, use the GitHub repo first—it’s easier to keep updated than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
How do I find the video for a specific lesson in this course?,The context doesn’t say how to find a specific lesson video. I don't know.,"Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
"Where do I follow the LLM Zoomcamp syllabus, homework deadlines, and my progress in one place?","Use the **LLM Zoomcamp course management platform**: https://courses.datatalks.club/llm-zoomcamp-2026/

It contains the syllabus, homework deadlines, and progress tracking in one place.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
Is there a course platform for checking the current cohort structure and tracking progress in LLM Zoomcamp?,"Yes — the course management platform is:

https://courses.datatalks.club/llm-zoomcamp-2026/

It contains the current cohort structure, homework, deadlines, and progress tracking.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
How can I keep up with deadlines and homework for this Zoomcamp without missing anything?,"Use the **LLM Zoomcamp course management platform** to track the **syllabus, deadlines, homework, and progress**:

https://courses.datatalks.club/llm-zoomcamp-2026/

A typical workflow is:

1. Watch the lesson videos  
2. Work through the lesson notebooks/code  
3. Read the homework instructions on GitHub  
4. Submit answers through the course platform before the deadline  

You can also check the course GitHub repo and docs for materials and instructions.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
"What site should I use to see the LLM Zoomcamp schedule, assignments, and course progress?","Use the **LLM Zoomcamp course management platform**:  
https://courses.datatalks.club/llm-zoomcamp-2026/

That’s where you can see the schedule, assignments/homework, deadlines, and course progress.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
Is the LLM Zoomcamp management page the same as the one used in other DataTalks.Club Zoomcamps?,Yes. The course management process is the same as in other DataTalks.Club Zoomcamps.,"Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
"Do we get live office hours for every module in this course, or is everything just pre-recorded?","There are no separate live sessions or office hours for every module by default. The module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you get stuck, you should ask in Slack and follow the asking questions guidelines.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
"If I get stuck on a lesson, where should I ask for help since there aren’t separate sessions for each module?","Ask in **Slack** and follow the **asking questions guidelines**. If you can, include the code or command output as text, not a screenshot.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
"Are live sessions part of the regular course schedule, or do they only happen sometimes?","Live sessions are **not** part of every module by default. The course materials are mostly **pre-recorded**, and live sessions happen **only when they’re announced separately**.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
What’s the best way to get support during the course if the module videos aren’t enough?,"If the module videos aren’t enough, the best next step is to check the **LLM Zoomcamp docs**, the **general Zoomcamp logistics docs**, and the **LLM Zoomcamp GitHub repository**.

If something is still unclear, the course guidance says to **ask in Slack** and include the **code or command output as text** rather than a screenshot.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
"Is there any extra paid option with regular Zoom office hours, or is the course only the free materials?","Yes — there is an optional paid extra support option.

The course content itself remains free, including the pre-recorded materials in the repo. But **AI Shipping Labs** is a **paid community** that includes **regular Zoom office hours** and additional structure.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
