question,document
Where can I find the course lectures and video lessons?,31456f4b5f
Is there a main page or repo I should start from to get all the lesson videos?,31456f4b5f
The YouTube playlist looks confusing — where are the videos linked for each lesson?,31456f4b5f
What’s the easiest place to check for the latest LLM Zoomcamp lecture videos?,31456f4b5f
How do I find the video for a specific lesson in this course?,31456f4b5f
"Where do I follow the LLM Zoomcamp syllabus, homework deadlines, and my progress in one place?",20c5a1347e
Is there a course platform for checking the current cohort structure and tracking progress in LLM Zoomcamp?,20c5a1347e
How can I keep up with deadlines and homework for this Zoomcamp without missing anything?,20c5a1347e
"What site should I use to see the LLM Zoomcamp schedule, assignments, and course progress?",20c5a1347e
Is the LLM Zoomcamp management page the same as the one used in other DataTalks.Club Zoomcamps?,20c5a1347e
"Do we get live office hours for every module in this course, or is everything just pre-recorded?",d65e05bd7a
"If I get stuck on a lesson, where should I ask for help since there aren’t separate sessions for each module?",d65e05bd7a
"Are live sessions part of the regular course schedule, or do they only happen sometimes?",d65e05bd7a
What’s the best way to get support during the course if the module videos aren’t enough?,d65e05bd7a
"Is there any extra paid option with regular Zoom office hours, or is the course only the free materials?",d65e05bd7a
Can I count my Bluesky posts toward learning in public credits?,dbf5369006
Is Bluesky accepted for the public learning credits in this course?,dbf5369006
Do posts on Bluesky qualify for learning in public credit requirements?,dbf5369006
"If I share course progress on Bluesky, will that give me learning in public credits?",dbf5369006
Are Bluesky updates allowed as evidence for earning public learning credits?,dbf5369006
What’s the Telegram link for the LLM Zoomcamp channel?,054f3fd58f
Where can I join the LLM Zoomcamp Telegram group?,054f3fd58f
"Is there a Telegram channel for LLM Zoomcamp, and what is it used for?",054f3fd58f
Should I use the Telegram channel or Slack for course announcements and technical questions?,054f3fd58f
"Where do I go for LLM Zoomcamp announcements, and where should I ask technical stuff?",054f3fd58f
Why does my FAQ dataset have a different number of records than the one shown in the videos?,e2d595f23c
Is it normal if the live FAQ data changes and I don’t get the same record count as in the lecture?,e2d595f23c
"I’m following the course code, but the FAQ rows don’t match the video output—what’s going on?",e2d595f23c
"Why do the FAQ items keep changing when I reload the dataset, and why is it different from the recording?",e2d595f23c
Should I expect the FAQ dataset count to be different now because the course videos were recorded earlier?,e2d595f23c
Can I still turn in the homework if the deadline already passed but the form is still open?,a9353fadfe
"The due date is over, but the submission page still works — does that mean I can submit now?",a9353fadfe
Is it okay to send homework late as long as the form hasn’t been closed yet?,a9353fadfe
"I missed the deadline, but the upload form is still available. Will my submission still count?",a9353fadfe
When does homework submission actually stop — at the deadline or only after the form is closed?,a9353fadfe
"Can I still turn in homework after the deadline if the submission form is open, or is it already closed for good?",cdc3b285e5
Do you ever give individual deadline extensions for homework in this course?,cdc3b285e5
"If I miss one homework, will that stop me from getting the certificate?",cdc3b285e5
"Are homework assignments required, or is the Capstone the only thing I really need to pass?",cdc3b285e5
"Do late homework submissions count toward the leaderboard, or are only on-time ones accepted?",cdc3b285e5
Will the name I enter for my certificate be public or shared anywhere else?,651ba06b34
"Does the certificate name show up on the leaderboard, or is that a different name?",651ba06b34
"If I want to stay anonymous, can I use one name for the leaderboard and another for the certificate?",651ba06b34
Where do I change the public display name versus the name printed on the certificate?,651ba06b34
"Is the real name on the certificate visible online, or only on the certificate itself?",651ba06b34
Why don't we use LangChain in this course and start with it right away?,b7cdde6b25
What's the reason for building the RAG pieces manually instead of relying on LangChain?,b7cdde6b25
Is LangChain being avoided because the course wants us to understand the basics first?,b7cdde6b25
"Should I learn prompting, retrieval, indexing, and evaluation before using a framework like LangChain?",b7cdde6b25
Why is it better to understand the core LLM app parts before moving to tools like LangChain?,b7cdde6b25
Why do I get an OpenAI API error about insufficient credits when I run `responses.create`?,f5df151c59
"What does the ""OpenAI API Error: Insufficient credits"" message mean in `responses.create`?",f5df151c59
How can I fix the error I see when using OpenAI `responses.create` in the RAG module?,f5df151c59
Is the `responses.create` failure caused by a billing or credit issue in my OpenAI account?,f5df151c59
"I’m getting an insufficient credits error with OpenAI responses, what should I check first?",f5df151c59
Why am I getting a 429 RateLimitError from OpenAI even though my code looks fine?,152af39a53
"Does this mean I hit some API limit, or is it actually a billing/quota issue?",152af39a53
What do I need to do in my OpenAI account to make the request work again?,152af39a53
"After adding credits, do I also need to change the model name in `responses.create`?",152af39a53
Should I generate a new API key after topping up my account?,152af39a53
How much should I expect to spend on the OpenAI API for this course?,554d0eb78b
"Do I need to add a lot of money to use the OpenAI API, or is it pretty cheap?",554d0eb78b
"What's the minimum I can recharge for the OpenAI API, and is that enough for the course exercises?",554d0eb78b
Will using the OpenAI API in Module 1 cost me more than a few cents?,554d0eb78b
"If I only use the API for the course, how expensive is it going to be?",554d0eb78b
Do I need a paid OpenAI API account to finish the homework in this course?,85384a18e5
Is it required to subscribe to OpenAI for the RAG module assignments?,85384a18e5
Can I complete the course without paying for the OpenAI API?,85384a18e5
"What if I don't want to use OpenAI API for the homework, are there alternatives?",85384a18e5
Where can I find free or cheaper options instead of OpenAI API for this course?,85384a18e5
Why does the course prefer uv over pip and virtualenv for Python setup?,f81dea8f7e
"What makes uv worth using instead of separate tools like pip, virtualenv, and poetry?",f81dea8f7e
"Do I have to use uv in this course, or can I just stick with pip and virtualenv?",f81dea8f7e
"How does uv simplify managing Python versions, environments, and dependencies?",f81dea8f7e
Is there a reason the lessons use uv even though the usual Python tools still work?,f81dea8f7e
Why does my notebook say OPENAI_API_KEY is missing even though I put it in a .env file?,86d99bbf21
Do I need python-dotenv for the Jupyter notebook to read my OpenAI key?,86d99bbf21
Where should I call load_dotenv() before creating the OpenAI client?,86d99bbf21
How can I make sure the API key name in my .env file is correct for the notebook?,86d99bbf21
My OpenAI key works in terminal but not in Jupyter — what should I check first?,86d99bbf21
How do I keep my API keys in a .env file and read them in Python?,233dabe430
What’s the easiest way to load OPENAI_API_KEY or GROQ_API_KEY without hardcoding them?,233dabe430
Do I need to install anything to use environment variables from a .env file?,233dabe430
How can I make sure my .env file doesn’t get pushed to GitHub?,233dabe430
What’s the recommended way in the course to store and access secret API keys?,233dabe430
"Can I swap out the suggested homework model for something else, or do I have to stick with it?",ee43413718
"Is it okay to use Gemini, Groq, OpenRouter, Azure OpenAI, or even a local model instead of the default provider?",ee43413718
"If I choose a different API or model, will I need to change the code because of things like response format or tokenization?",ee43413718
"Do I need to pay for a service to finish the homework, or are there free options that work too?",ee43413718
Where can I find a list of OpenAI API alternatives that the course recommends?,ee43413718
How can I use Gemini in the Module 1 RAG notebook with the OpenAI-style endpoint?,0ae5c221b9
What do I need to set up before calling Google Gemini through OpenAI client code?,0ae5c221b9
How should I load my Gemini key from .env and point the client to Google’s endpoint?,0ae5c221b9
Why does the notebook code need changes when switching from Responses API to chat completions for Gemini?,0ae5c221b9
What’s the right model name and request format for running Gemini in the course notebook?,0ae5c221b9
How do I make Gemini return Pydantic objects through the OpenAI-compatible API if `responses.parse` isn’t working?,341f71f28c
What’s the right OpenAI SDK method for parsed structured output with Gemini on the chat-completions endpoint?,341f71f28c
How can I define a `Questions` Pydantic model and get Gemini to fill it automatically?,341f71f28c
Can I still use `client.chat.completions.parse` with Gemini through Google’s OpenAI-style base URL?,341f71f28c
What should I do to avoid manual JSON parsing when I want structured FAQ output from Gemini?,341f71f28c
"How do I get Ollama installed on macOS, Windows, or Linux?",1d0b969028
What command should I run after installing Ollama to try it with LLaMA 3?,1d0b969028
How can I check if the Ollama server is actually running on my machine?,1d0b969028
What’s the easiest way to install the Python Ollama client for a script?,1d0b969028
Can you show a tiny Python example that sends a prompt to Ollama and prints the reply?,1d0b969028
How do I fix a connection refused error when I try prompting my Ollama RAG notebook?,c6fc2d4d11
"If Ollama keeps refusing the connection during homework, what should I restart to get it working again?",c6fc2d4d11
What command can I run to bring Ollama back up after the server stops in the notebook?,c6fc2d4d11
"Do I need to rerun the cell with `ollama serve` after restarting, or is restarting the server enough?",c6fc2d4d11
"Why am I getting a connection refused error in the RAG homework, and what's the quickest fix?",c6fc2d4d11
Why do I get a different token count with tiktoken than the number OpenAI shows in the API response?,bf0403d21b
"In chat.completions.create, what extra tokens get added around each message, and why does that matter?",bf0403d21b
How come my prompt is 320 tokens locally but OpenAI says 327 tokens for the same request?,bf0403d21b
"Does OpenAI count things like message formatting, separators, or the start of the assistant reply in token usage?",bf0403d21b
"Can whitespace, extra newlines, or odd Unicode characters make the token count go up compared to my own estimate?",bf0403d21b
How can I keep my API key loaded automatically in a project without re-exporting it in every terminal?,8b2f5e9d04
Is there a way to use one env setup that works with both .env and .envrc across different shells?,8b2f5e9d04
What should I put in my shell config so my project env file gets picked up when I cd into the folder?,8b2f5e9d04
"If I already use direnv, what is the right way to set up secrets for a project and make it work safely?",8b2f5e9d04
"For Python code, how do I load variables from a .env file instead of setting them by hand each time?",8b2f5e9d04
How do I decide the best field weights in minsearch or any other search tool?,87d4ea4e08
Is there a proper way to tune search field weights instead of just guessing them?,87d4ea4e08
What steps should I follow to test different field weights against real questions?,87d4ea4e08
Should I build a labeled set before changing weights in my search engine?,87d4ea4e08
What metrics can I use to compare different field weight settings for retrieval?,87d4ea4e08
What’s the best way to clean docs before using them in a RAG system?,649c280e6d
"Which parts of a document should I keep, and what should I remove, when preparing data for retrieval?",649c280e6d
"Do I need to convert my source files into JSON for RAG, or can I use another format?",649c280e6d
How should I split long documents so the chunks still make sense for retrieval?,649c280e6d
What kind of metadata is worth keeping when I prepare documents for a RAG pipeline?,649c280e6d
"I’m getting a “Failed to hardlink files” warning from uv in GitHub Codespaces — do I need to worry, or is the install still fine?",acf8fa5356
"Why does uv complain about hardlinking in Codespaces, and what does it do instead?",acf8fa5356
How can I stop uv from showing the hardlink warning in my current terminal session?,acf8fa5356
What’s the easiest way to make uv use copy mode every time I open a new shell in Codespaces?,acf8fa5356
Is there any official uv docs page I should check for this hardlink/copy behavior?,acf8fa5356
My script says `dotenv` is not recognized — what package do I need to install?,0bed1f48da
How do I fix the error when `dotenv` can’t be imported in Python?,0bed1f48da
What’s the easiest way to add dotenv support for loading env variables in my project?,0bed1f48da
Which pip/uv package should I install if I want to use `load_dotenv()`?,0bed1f48da
"After installing the dotenv package, what import and function should I use in Python?",0bed1f48da
Can I do the course on my own machine instead of using Codespaces?,aa310de435
"Is Codespaces required for this RAG module, or can I use a local setup?",aa310de435
"If I want to work locally, what tools do I need to install first?",aa310de435
Will I miss anything if I skip Codespaces and run everything on my laptop?,aa310de435
Do I need to keep a record of my local environment if I don't use Codespaces?,aa310de435
"If I save code in GitHub Codespaces but never commit, where does it actually live?",610ccb23c0
Will my work in Codespaces still be there later if I close it without committing?,610ccb23c0
"Is code in Codespaces automatically backed up anywhere, or do I need to commit it myself?",610ccb23c0
What should I do in Codespaces so I don’t lose my changes if the VM stops or gets deleted?,610ccb23c0
"Does Codespaces keep my files safe on its own, or is regular git commit still necessary?",610ccb23c0
Why does WSL2 say the model needs more system memory even though my PC has enough RAM?,f3dd94f323
How do I make WSL2 use more memory on Windows for running a model?,f3dd94f323
Where should I put the .wslconfig file to raise WSL2 RAM limits?,f3dd94f323
What should I write in .wslconfig to give WSL2 8GB memory?,f3dd94f323
"After changing WSL2 memory settings, how do I restart and check that it worked?",f3dd94f323
"My GitHub Codespace is stuck on ""Finishing up"" and never opens — how can I get it to reconnect?",830f3d2018
"If my Codespace won't load in VS Code desktop, is there a browser workaround that usually helps?",830f3d2018
What should I do when my Codespace setup seems to disappear after a rebuild or after creating a new one?,830f3d2018
"Do files in `/workspaces` survive stop/start in Codespaces, or do I need to push everything first?",830f3d2018
"If Codespaces keeps acting flaky, is it okay to switch to running the course locally instead?",830f3d2018
"Can I use something other than OpenAI for the RAG exercises, or is the course locked to it?",c6ff9083c0
"If I switch to Groq, OpenRouter, DeepSeek, Gemini, Z.ai, or Mistral, do I just need to change the API URL and model name?",c6ff9083c0
What’s the easiest way to run a model locally with Ollama or vLLM so I don’t depend on an external API?,c6ff9083c0
Are Hugging Face models like Qwen or Llama a good option if I want an open-source hosted model?,c6ff9083c0
"If a provider is blocked in my region, should I use a VPN, a local model, or a rented GPU server?",c6ff9083c0
How can I stop getting 429 rate limit errors in the RAG notebooks when my code loops over lots of docs?,8e21752415
What’s the best way to deal with OpenAI per-minute and per-day limits while working through the course exercises?,8e21752415
"Should I just increase retries for 429s, or is there a better setup to avoid them in the first place?",8e21752415
How many workers should I use if I’m calling the API from a thread pool and don’t want to hit the cap?,8e21752415
"Do I need to re-run embeddings and LLM calls every time I open the notebook, or is there a good way to cache them?",8e21752415
"What exactly do tools and functions mean in agentic RAG, and are they basically the same thing?",c296ea5a21
When would an LLM decide to call a tool or function instead of answering directly?,c296ea5a21
Can you give a few examples of tools or functions used in agentic RAG workflows?,c296ea5a21
How are tools/functions different from the normal retrieval step in basic RAG?,c296ea5a21
Should I worry about the difference between the words tool and function in this course?,c296ea5a21
Which free models can I use if I want tool support for development?,0d74a3616f
"Does Groq have any models with tool use enabled, and are they free?",0d74a3616f
"Besides OpenAI, what other providers support tool or function calling for agentic RAG?",0d74a3616f
"If I switch from OpenAI to Groq, Mistral, Gemini, or Ollama, do I need to change the code?",0d74a3616f
Where can I read more about Groq tool use and supported schemas?,0d74a3616f
Why do I get `AttributeError: 'str' object has no attribute 'output'` when I call `response.output` with a non-OpenAI model?,9e7b3f0c25
"Can I use OpenAI’s Responses API with Mistral, Groq, or Gemini, or is it only for OpenAI models?",9e7b3f0c25
What should I use instead of `client.responses.create(...)` if my provider doesn’t support `response.output`?,9e7b3f0c25
How do I read the assistant text from a chat completion response when I’m not using OpenAI’s Responses API?,9e7b3f0c25
Is it okay to keep using the older `chat.completions` interface for the homework if my model provider works better with that?,9e7b3f0c25
I'm using Azure OpenAI and getting a 400 error saying tools[0].function is missing — what should I change in my weather tool JSON?,b9c7c6bb34
"Why does Azure OpenAI complain about a missing tools[0].function field, and what does the correct get_weather_tool object look like?",b9c7c6bb34
"In Module 1 Agentic RAG, my tool call fails with missing required parameter tools[0].function. How should I define get_weather_tool?",b9c7c6bb34
What is the proper JSON format for a weather function tool in Azure OpenAI so I don't get the missing function error?,b9c7c6bb34
I keep seeing Error code 400 about tools[0].function when using get_weather_tool. Can you show the fixed schema?,b9c7c6bb34
"Why do I get a 404 error in toyaikit when I try Groq or another provider that's not OpenAI, and what should I change?",0224d980b3
How can I make toyaikit work with Groq using the chat completions API instead of the Responses endpoint?,0224d980b3
"Is there a way to use Anthropic with toyaikit instead of OpenAI, and which runner/client should I use?",0224d980b3
What’s the difference between the OpenAI Responses runner and the chat completions runner in toyaikit when using non-OpenAI models?,0224d980b3
"If I want to run a single turn programmatically in toyaikit, should I use `runner.loop()` or `runner.run()`?",0224d980b3
Where do I actually find the Module 1 homework questions for this course?,53f15299b6
Is there a GitHub page for the 2026 Module 1 homework instructions?,53f15299b6
Do I need to check the course platform or the repo to get the homework tasks?,53f15299b6
Which link has the full homework prompt and extra context for Module 1?,53f15299b6
"Besides submission and deadlines, where else should I look for homework details?",53f15299b6
Why am I getting an empty list after filtering my query in HW Q3?,83da208a64
Could this be caused by how I indexed the data before running the filters?,83da208a64
Do I need to set the index settings first before inserting the documents?,83da208a64
My homework query returns nothing after applying filters — what am I missing?,83da208a64
"If my search is empty, should I check the order of creating the index and loading the data?",83da208a64
Why do I get a 402 error from OpenRouter when I call responses.create()?,cfb07a27d5
How do I fix the 402 / APIStatusError by setting max_output_tokens in my OpenAI client?,cfb07a27d5
"In the Module 1 homework rag_helper.py, where should I add the output token limit?",cfb07a27d5
"For the ToyAIKit part of Q6, how can I pass max_output_tokens with OpenAIClient?",cfb07a27d5
"If I still get rejected after lowering max_output_tokens, what should I check in my .env and OpenRouter key settings?",cfb07a27d5
"In the Module 1 homework, when people say to point RAG at the chunk index, what does that actually mean?",b4300adeb1
Should I build the search index from the full documents or from the split chunks for the homework RAG setup?,b4300adeb1
"If I already have `documents` and `chunks`, which one should I pass to `index.fit()` in Module 1?",b4300adeb1
Why does the RAG pipeline use chunks instead of the original documents when creating the prompt?,b4300adeb1
What changes in the homework if the retrieval step searches over chunked docs rather than the original records?,b4300adeb1
"For the Module 1 homework, if my numeric result is a bit off, should I still pick the closest multiple-choice option?",5e4ca64cb5
Why do homework answers sometimes not line up exactly with the listed options in this course?,5e4ca64cb5
What should I check if my homework answer is nowhere near any of the available options?,5e4ca64cb5
"Can small differences in filtering, rounding, or dataset versions change the expected homework answer?",5e4ca64cb5
"Is it okay to choose an answer even when my output is not exactly the same as the option text, as long as it’s close?",5e4ca64cb5
"Where exactly should I read the homework instructions for Module 1, since the platform page isn’t enough?",7d3a2e3505
"If a homework task looks confusing, should I first check the GitHub repo or the course site?",7d3a2e3505
"For the 2026 Module 1 homework, which links do I need to open before starting the assignment?",7d3a2e3505
Why does the homework sometimes use a different dataset even though it follows the lesson workflow?,7d3a2e3505
"If I still don’t understand the homework after reading the instructions, how should I ask for help in Slack?",7d3a2e3505
How can I get the token count for the Module 1 homework if I’m using a different LLM provider than OpenAI?,fe8fed31e6
Where should I look in the response object to find input token usage for an OpenAI-compatible API?,fe8fed31e6
"Can I just use tiktoken or cl100k_base to count tokens for Gemini, Mistral, Groq, or Hugging Face?",fe8fed31e6
What should I do if my provider doesn’t give token usage info in the response?,fe8fed31e6
"For the multiple-choice homework, what if the token count I get isn’t exactly one of the answers?",fe8fed31e6
"Why does my homework link get rejected with a 500 or other non-200 error, and what should I change so the checker can open it?",bcdb8740ce
"Could a private GitHub repo be the reason my submission URL fails, and do I need to make it public?",bcdb8740ce
I pasted my repo address with `.git` at the end — is that why the checker says the URL is invalid?,bcdb8740ce
How can I quickly verify that the homework repository is actually reachable from outside my browser session?,bcdb8740ce
"What are the common reasons the homework submission URL doesn’t return 200, even though it opens for me sometimes?",bcdb8740ce
"What exactly are embeddings in vector search, and why do they matter for preserving meaning?",69430a79a8
How does turning text or other non-numeric data into numbers help with semantic similarity?,69430a79a8
"If two inputs are similar, should their embeddings also be close to each other? Why is that useful?",69430a79a8
What does it mean when people talk about a vector space model in relation to embeddings?,69430a79a8
"Are embeddings basically a kind of dimensionality reduction, or is that a different idea?",69430a79a8
"How do I get rid of the warning about ""multi-qa-mpnet-base-dot-v1"" being made on sentence-transformers v3.0.0 beta?",aa3f597424
Is there a way to suppress the sentence-transformers version warning in Module 2 vector search?,aa3f597424
What should I install or upgrade if I keep seeing the model compatibility warning for multi-qa-mpnet-base-dot-v1?,aa3f597424
"Why am I getting a warning that this model was made on sentence-transformers 3.0.0 beta, and how do I stop it?",aa3f597424
"Do I need a newer sentence-transformers version to avoid the ""made on v3.0.0 bet"" warning?",aa3f597424
"Why did the lesson use .dot(...) straight away for cosine similarity, but the homework asks us to normalize first?",92cd22cada
"When can I treat a dot product as cosine similarity in vector search, and when do I need to normalize the vectors myself?",92cd22cada
"Are the embeddings in the lesson already unit length, so .dot(...) works without extra steps?",92cd22cada
Why doesn't .dot(...) equal cosine similarity for the TF-IDF + SVD vectors in the homework unless I normalize them?,92cd22cada
"Is normalization only needed for classic embeddings, while model-encoded embeddings can be compared with a plain dot product?",92cd22cada
"For vector search in this course, do I need to embed just the answer text, or is it better to embed the question too?",5c4a8d2e60
"What’s the difference between embedding only the question, only the answer, or combining both fields for search?",5c4a8d2e60
"Is there a recommended choice for what to embed in vector search, or is this something I should test on my own data?",5c4a8d2e60
"Why would `question + text` sometimes work better for retrieval, even though it makes the input longer and more expensive?",5c4a8d2e60
How should I decide which embedding setup is best for my dataset — should I look at hit rate or MRR?,5c4a8d2e60
"How does cosine similarity measure how alike two vectors are, especially in text search?",db78580409
Why is cosine similarity so commonly used when comparing documents or embeddings?,db78580409
"What does a cosine similarity score of 1, 0, or -1 actually mean?",db78580409
"Can cosine similarity work on any vectors, or only on non-zero ones?",db78580409
"In vector search, why do we compare the angle between word count or TF-IDF vectors instead of their raw values?",db78580409
Why does cosine similarity become just a dot product once the vectors are normalized?,95feb4e75b
"If both the query and document embeddings are unit vectors, why can we use matrix multiplication to get cosine scores?",95feb4e75b
What changes in cosine similarity when all embeddings are normalized to length 1?,95feb4e75b
How does normalizing vectors make cosine similarity fast to compute with a matrix multiply?,95feb4e75b
Why is cosine similarity equivalent to multiplying the embedding matrix by the query vector after normalization?,95feb4e75b
"For Module 2, do I have to make another GitHub repo, or can I just spin up a fresh codespace from the repo I already have?",1e829a8c6f
Why does the course say to use a separate codespace for the vector search part instead of keeping everything in the Module 1 workspace?,1e829a8c6f
"If I create a new codespace for Module 2, is there any reason I should not reuse the same GitHub repository?",1e829a8c6f
"What’s the difference here between a codespace and a repository, and which one do I actually need to create for Module 2?",1e829a8c6f
"Since the Module 2 setup can be deleted later, do I need to commit my work somewhere so I don’t lose it?",1e829a8c6f
Why does download.py stay stuck at 0% when pulling model.onnx from HuggingFace?,29b69fbe0b
What should I do if the model download never moves past 0% in download.py?,29b69fbe0b
Is there a way to bypass the HuggingFace download in download.py and add model.onnx manually?,29b69fbe0b
Where can I get model.onnx directly if the script keeps hanging on download?,29b69fbe0b
"Why does the downloader keep waiting forever, and will it skip the file if I place model.onnx in the right folder first?",29b69fbe0b
"Why do the matrix dot product and the for-loop version of vector search not match exactly, even though they’re doing the same thing?",e889793af9
I compared `X.dot(v_query)` with a loop and got tiny differences — is that a bug or just floating-point stuff?,e889793af9
"Why can `np.allclose(scores, scores_loop)` still return `False` when both methods should compute the same vector search scores?",e889793af9
"Does BLAS compute dot products differently from a Python loop, and can that change the last digits of the result?",e889793af9
What’s the best way to check if the vector search scores from the fast matrix version and the loop version are really equivalent?,e889793af9
Why am I getting `IndexError: list index out of range` when I try to pick the best chunk in vector search?,1a7b27c4df
What usually causes the chunk index to break when using embeddings for document search?,1a7b27c4df
How do I make sure the number of embeddings matches the number of chunks?,1a7b27c4df
"Should I build embeddings from the chunk list itself, or can I use some other list and still map results back correctly?",1a7b27c4df
My `X` matrix and `chunks` list seem different sizes — what’s the right way to create embeddings so the best chunk lookup works?,1a7b27c4df
"For Module 2 homework Q2, my cosine similarity is way off and none of the choices match — could I be using the wrong embedding model?",eaa17a9dc6
"In the homework, do I need to use sentence-transformers for Q2, or should I load the lightweight ONNX Embedder from embedder.py instead?",eaa17a9dc6
Why does my cosine similarity change if I embed the page content with a lesson model like multi-qa-mpnet-base-dot-v1 or all-mpnet-base-v2?,eaa17a9dc6
"Am I supposed to compute cosine similarity using the page content vector and the query vector from Q1, or did I miss another step?",eaa17a9dc6
"If my Q2 value is only a little different from the options after using the right model, should I just choose the closest answer?",eaa17a9dc6
"How do I set up Gemini, OpenAI, and Tavily keys so Kestra can use them in the module?",3860e5fe8b
Why do I need both `GEMINI_API_KEY` and `SECRET_GEMINI_API_KEY` before launching Kestra?,3860e5fe8b
What’s the right way to store API keys for Kestra if the flows expect secrets from env vars?,3860e5fe8b
"In a Kestra flow, how do I reference the Gemini key without typing the `SECRET_` prefix?",3860e5fe8b
"Do I need to restart the Kestra containers after exporting the API variables, and why?",3860e5fe8b
"Why does Kestra AI Copilot keep saying it can only help with creating flows, and what setting am I missing?",04440cab11
"Do I need to use a normal Gemini key or the base64 one for Kestra Copilot, and which env var should be set?",04440cab11
I already set a Gemini API key but the Copilot still refuses to answer — what should I check first?,04440cab11
What’s the quickest way to restart Kestra after adding the Gemini key so the AI Copilot starts working?,04440cab11
"Could this Copilot error be caused by quota or a bad key, and how do I tell the difference?",04440cab11
Why does my Kestra flow say the Gemini key is invalid even though I already set SECRET_GEMINI_API_KEY?,c8ca21af33
Could a trailing newline or space break the base64 secret for Gemini in Kestra?,c8ca21af33
How should I encode the API key so Kestra reads the secret correctly without auth errors?,c8ca21af33
"Do I need to restart Kestra after exporting the secret env var, or is a shell reload enough?",c8ca21af33
"In a Kestra flow, should I use SECRET_GEMINI_API_KEY or just secret('GEMINI_API_KEY')?",c8ca21af33
Why can’t I just keep doing all this in a notebook instead of using Kestra or another orchestrator?,193612db63
What problems does an orchestration tool solve that a simple Python script or notebook doesn’t handle well?,193612db63
"In this module, why is Kestra used for more than scheduling jobs—what’s the AI part about?",193612db63
"How does Kestra help with production-like AI workflows such as retries, monitoring, and chaining steps together?",193612db63
"Can I switch between OpenAI, Gemini, Anthropic, and other providers in a Kestra flow without rewriting the whole workflow?",193612db63
"Do I have to use Kestra in LLM Zoomcamp, or is any other orchestrator fine?",cce328db64
"For the capstone project, can I skip Kestra and build the pipeline with Airflow, Prefect, Dagster, or even plain Python?",cce328db64
Is it okay if I just use a simple script or notebook for the data ingestion and indexing part of the project?,cce328db64
Why does the course teach Kestra in Module 3 if I can use something else later on?,cce328db64
"If I learn the module with Kestra, can I still swap to another AI provider or orchestration tool for my project?",cce328db64
"Besides Gemini, which AI providers can I plug into Kestra, and does it work with local models too?",f442efe5b4
"Can I switch Kestra from Gemini to Groq, Ollama, or another OpenAI-compatible model without rewriting my flow?",f442efe5b4
What’s the difference between Kestra’s generic AI plugin and the vendor-specific plugins like Gemini or OpenAI?,f442efe5b4
"If a provider is OpenAI-compatible but doesn’t have its own Kestra plugin, how do I connect it?",f442efe5b4
